Category,ASIN,Price,Web Hierarchy,,UPC,"_Title (Brand name then item title, total 120 characters, exclude final words like the and and do not end abruptly)","_Short_Description max 500 characters (Brand name, then full item title, then bullets of Technical Details",_Brand_Name (18 character max),_Seller_Image_URL (Seperated by |)
Electric Knives,B00004WKI3,48.98,Kitchen Knives,,8.02E+11,Cuisinart CEK-40C Electric Knife,"Cuisinart CEK-40C Electric Knife
•	Band- Cuisinart
•	Model Number- CEK40
•	Colour- Black/Natural",Cuisinart,https://images-na.ssl-images-amazon.com/images/I/719VuyhEdlL._SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/51aRzFH2goL._SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/71VCdEXacOL._SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/71o2u9aZJ5L._SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/71NOKEsdvBL._SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/71PgjCKQHgL._SL1200_.jpg
Electric Knives,B06XPF6M8J,36.98,Kitchen Knives,,68459170064,"CUISINART CEK-30C Electric Knife, Black","CUISINART CEK-30C Electric Knife, Black
•	Brand- Cuisinart
•	Model Number- CEK-30C
•	Colour- Black",CUISINART,https://images-na.ssl-images-amazon.com/images/I/5197dSpBV4L._SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/51OnIWsKOXL._SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/51O4-cCyXTL._SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/51or-dAWomL._SL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/51vdLyLBpkL._SL1200_.jpg
Electric Knives,B00065XWO0,31.44,Kitchen Knives,,,Hamilton-Beach Electric Carving Knife with Case - 74275RC,"Hamilton-Beach Electric Carving Knife with Case - 74275RC
•	Brand- Hamilton Beach
•	Model Number- 74275
•	Colour- Black",Hamilton Beach,
Electric Knives,B01K1JJAI2,32.57,Kitchen Knives,,,,,,
Electric Knives,B07F9XY5SV,21.98,Kitchen Knives,,,,,,
Electric Knives,B07DRM9YXL,39.99,Kitchen Knives,,,,,,
Electric Knives,B00F5EK3CG,82.05,Kitchen Knives,,,,,,
Electric Knives,B00GMH7UW6,46.37,Kitchen Knives,,,,,,
Electric Knives,B002DUCCDI,25,Kitchen Knives,,,,,,
Electric Knives,B001NXCFT2,79,Kitchen Knives,,,,,,
Electric Knives,B001NXC7S6,74.24,Kitchen Knives,,,,,,
Electric Knives,B002L9DHLW,24.66,Kitchen Knives,,,,,,
,,,,,,,,,
Knife Sharpeners,B07B9LZYY7,29.99,Knife Sharpeners,,,,,,
Knife Sharpeners,B008AF0Y80,80.62,Knife Sharpeners,,,,,,
Knife Sharpeners,B00006IUWM,50.73,Knife Sharpeners,,,,,,
Knife Sharpeners,B0039SLUI6,50.99,Knife Sharpeners,,,,,,
Knife Sharpeners,B07765Z1PN,66.17,Knife Sharpeners,,,,,,
Knife Sharpeners,B000TYBWJ0,89.99,Knife Sharpeners,,,,,,
Knife Sharpeners,B0017KS9Z0,33,Knife Sharpeners,,,,,,
Knife Sharpeners,B0759TR3BT,27.99,Knife Sharpeners,,,,,,
Knife Sharpeners,B01M7XVH5E,19.99,Knife Sharpeners,,,,,,
Knife Sharpeners,B07198FCHY,58.28,Knife Sharpeners,,,,,,
Knife Sharpeners,B00V5EKMZI,24.99,Knife Sharpeners,,,,,,
Knife Sharpeners,B007MHEYW4,65.36,Knife Sharpeners,,,,,,
Knife Sharpeners,B0039SLUHM,43.16,Knife Sharpeners,,,,,,
Knife Sharpeners,B00FRETBH2,53.99,Knife Sharpeners,,,,,,
Knife Sharpeners,B001CQTLJM,9.99,Knife Sharpeners,,,,,,
Knife Sharpeners,B004NOWRIW,39,Knife Sharpeners,,,,,,
Knife Sharpeners,B01FXK7XF6,28.99,Knife Sharpeners,,,,,,
,,,,,,,,,
Kitchen Knives - Individual Pieces,B072K2HDKS,54.99,Kitchen Knives,,,,,,
Kitchen Knives - Individual Pieces,B000638D32,44.99,Kitchen Knives,,,,,,
Kitchen Knives - Individual Pieces,B07DN4HLBG,23.26,Kitchen Knives,,,,,,
Kitchen Knives - Individual Pieces,B07M6F3H3N,24.99,Kitchen Knives,,,,,,
Kitchen Knives - Individual Pieces,B07BFV757Z,29.99,Kitchen Knives,,,,,,
Kitchen Knives - Individual Pieces,B07D58P41W,38.95,Kitchen Knives,,,,,,
Kitchen Knives - Individual Pieces,B01GL4C4WK,38.95,Kitchen Knives,,,,,,
Kitchen Knives - Individual Pieces,B07B53KDRB,143.24,Kitchen Knives,,,,,,
Kitchen Knives - Individual Pieces,B0768MNJJM,68.8,Kitchen Knives,,,,,,
Kitchen Knives - Individual Pieces,B07D9WGXWC,24.69,Kitchen Knives,,,,,,
Kitchen Knives - Individual Pieces,B07PVJK34F,29.99,Kitchen Knives,,,,,,
